# simplified	english	pinyin
八	eight	ba1
爸	father	ba4
白天	daytime	bai2 tian1
半	half	ban4
帮忙	help	bang1 mang2
杯	cup	bei1
北	north	bei3
本子	book	ben3 zi5
别的	else	bie2 de5
病	illness	bing4
不对	incorrect	bu4 dui4
茶	tea	cha2
差	different	cha4
唱	sing	chang4
车票	ticket	che1 piao4
地	earth	di4
地点	place	di4 dian3
地方	region	di4 fang1
地图	map	di4 tu2
电	lightning	dian4
电话	telephone	dian4 hua4
电脑	computer	dian4 nao3
东边	east	dong1 bian5
饭店	restaurant	fan4 dian4
房间	room	fang2 jian1
房子	house	fang2 zi5
飞	fly	fei1
飞机	airplane	fei1 ji1
风	wind	feng1
干净	clean	gan1 jing4
高兴	happy	gao1 xing4
歌	song	ge1
跟	heel	gen1
工作	work	gong1 zuo4
国外	abroad	guo2 wai4
过	cross	guo4
还	still	hai2
孩子	child	hai2 zi5
喝	drink	he1
话	dialect	hua4
回去	return	hui2 qu5
火车	train	huo3 che1
记	record	ji4
记得	remember	ji4 de5
家里	home	jia1 li3
间	between	jian1
叫	shout	jiao4
介绍	introduce	jie4 shao4
今天	today	jin1 tian1
九	nine	jiu3
考	beat	kao3
渴	thirsty	ke3
课	subject	ke4
课本	textbook	ke4 ben3
课文	text	ke4 wen2
口	mouth	kou3
快	rapid	kuai4
老师	teacher	lao3 shi1
累	tired	lei4
里边	inside	li3 bian5
两	two	liang3
零	zero	ling2
六	six	liu4
楼上	upstairs	lou2 shang4
楼下	downstairs	lou2 xia4
路口	crossing	lu4 kou3
妈妈	mama	ma1 ma5
马路	street	ma3 lu4
买	buy	mai3
慢	slow	man4
忙	busy	mang2
没有	haven't	mei2 you3
门口	doorway	men2 kou3
面包	bread	mian4 bao1
名字	name	ming2 zi5
明天	tomorrow	ming2 tian1
哪	how	na3
哪里	where	na3 li3
那些	those	na4 xie1
奶	breast	nai3
男朋友	boyfriend	nan2 peng2 you5
男生	schoolboy	nan2 sheng1
南边	south	nan2 bian5
难	difficult	nan2
女	female	nv3
女朋友	girlfriend	nv3 peng2 you5
女生	schoolgirl	nv3 sheng1
朋友	friend	peng2 you5
七	seven	qi1
起	rise	qi3
汽车	car	qi4 che1
前	front	qian2
钱包	purse	qian2 bao1
请	ask	qing3
认识	know	ren4 shi5
认真	conscientious	ren4 zhen1
日期	date	ri4 qi1
肉	meat	rou4
上午	morning	shang4 wu3
少	few	shao3
谁	who	shei2
什么	what	shen2 me5
十	ten	shi2
时候	time	shi2 hou5
事	matter	shi4
试	test	shi4
手	hand	shou3
书包	schoolbag	shu1 bao1
书店	bookstore	shu1 dian4
树	tree	shu4
水果	fruit	shui3 guo3
睡	sleep	shui4
说话	speak	shuo1 hua4
四	four	si4
太	highest	tai4
天	day	tian1
天气	weather	tian1 qi4
听到	hear	ting1 dao4
图书馆	library	tu2 shu1 guan3
外	outside	wai4
晚	evening	wan3
网上	online	wang3 shang4
忘	forget	wang4
五	five	wu3
午饭	lunch	wu3 fan4
西边	west	xi1 bian1
洗手间	toilet	xi3 shou3 jian1
下边	under	xia4 bian5
下午	afternoon	xia4 wu3
下雨	rain	xia4 yu3
想	think	xiang3
小时	hour	xiao3 shi2
写	write	xie3
谢谢	thank	xie4 xie5
星期	week	xing1 qi1
休息	rest	xiu1 xi5
学	learn	xue2
学生	student	xue2 sheng5
学校	school	xue2 xiao4
学院	college	xue2 yuan4
页	page	ye4
一	one	yi1
衣服	clothes	yi1 fu5
医院	hospital	yi1 yuan4
一样	same	yi1 yang4
有名	famous	you3 ming2
有时候	sometimes	you3 shi2 hou5
有些	some	you3 xie1
有一些	somewhat	you3 yi1 xie1
有用	useful	you3 yong4
远	far	yuan3
月	moon	yue4
再见	goodbye	zai4 jian4
早	early	zao3
早饭	breakfast	zao3 fan4
站	station	zhan4
找到	find	zhao3 dao4
这些	these	zhe4 xie1
真	really	zhen1
正	straight	zheng4
知识	knowledge	zhi1 shi5
中午	noon	zhong1 wu3
重	heavy	zhong4
准备	preparation	zhun3 bei4
桌子	table	zhuo1 zi5
字	letter	zi4
走	walk	zou3
最好	best	zui4 hao3
昨天	yesterday	zuo2 tian1
安静	quiet	an1 jing4
白色	white	bai2 se4
半夜	midnight	ban4 ye4
报纸	newspaper	bao4 zhi3
笔记本	notebook	bi3 ji4 ben3
边	side	bian1
变	change	bian4
不错	correct	bu4 cuo4
不过	only	bu4 guo4
菜单	menu	cai4 dan1
参观	visit	can1 guan1
草地	lawn	cao3 di4
查	research	cha2
差不多	almost	cha4 bu5 duo1
超过	surpass	chao1 guo4
超市	supermarket	chao1 shi4
车辆	vehicle	che1 liang4
称	weigh	cheng1
成绩	achievement	cheng2 ji4
重复	repeat	chong2 fu4
出现	appear	chu1 xian4
